"ISCED11";"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2012";36;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2011";34,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2010";33,8;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2009";32,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2008";31,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2007";30,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2006";29;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2005";28,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2004";26,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2003";25;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2002";23,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2001";NA;NA;"na"
"ED5-8";"PC";"Y30-34";"T";"EU28";"A";"2000";NA;NA;"na"
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2015";25,3;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2014";23,9;"b";NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2013";22,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2012";21,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2011";20,4;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2010";19,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2009";19;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2008";19,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2007";18,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2006";17,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2005";17,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2004";15,6;"b";NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2003";13,9;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2002";13,1;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2001";12,2;NA;NA
"ED5-8";"PC";"Y30-34";"T";"IT";"A";"2000";11,6;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2015";29,5;NA;NA
"ED5-8";"PC";"Y30-34";"T";"ITC4";"A";"2014";25,9;"b";NA
