"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"EU28";"A";"2002";68,6;NA;NA
"PC";"Y15-64";"T";"EU28";"A";"2001";NA;NA;"na"
"PC";"Y15-64";"T";"EU28";"A";"2000";NA;NA;"na"
"PC";"Y15-64";"T";"EU28";"A";"1999";NA;NA;"na"
"PC";"Y15-64";"T";"IT";"A";"2015";64;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2014";63,9;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2013";63,4;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2012";63,5;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2011";62,1;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2010";62;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2009";62,3;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2008";62,9;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2007";62,4;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2006";62,6;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2005";62,5;"b";NA
"PC";"Y15-64";"T";"IT";"A";"2004";62,8;"b";NA
"PC";"Y15-64";"T";"IT";"A";"2003";61,6;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2002";61;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2001";60,3;NA;NA
"PC";"Y15-64";"T";"IT";"A";"2000";59,9;NA;NA
"PC";"Y15-64";"T";"IT";"A";"1999";59,6;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2015";70,8;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2014";70,7;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2013";70,5;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2012";69,8;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2011";68,5;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2010";68,8;NA;NA
