"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y15-24";"T";"ITC4";"A";"2014";31,2;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2013";30,8;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2012";26,5;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2011";20,8;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2010";20;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2009";18,5;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2008";12,3;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2007";12,9;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2006";12,4;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2005";13,2;NA;"b"
"PC";"Y15-24";"T";"ITC4";"A";"2004";11,9;NA;"b"
"PC";"Y15-24";"T";"ITC4";"A";"2003";9,8;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2002";11,6;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2001";11,2;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"2000";13,3;NA;NA
"PC";"Y15-24";"T";"ITC4";"A";"1999";13,7;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2015";25,9;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2014";29;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2013";27,2;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2012";24;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2011";19,5;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2010";18,8;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2009";15,3;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2008";10,5;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2007";9,6;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2006";11;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2005";11,5;NA;"b"
"PC";"Y15-24";"T";"ITH";"A";"2004";11,9;NA;"b"
"PC";"Y15-24";"T";"ITH";"A";"2003";7,5;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2002";6,7;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2001";7;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"2000";8,7;NA;NA
"PC";"Y15-24";"T";"ITH";"A";"1999";11;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2015";11,9;NA;"u"
"PC";"Y15-24";"T";"ITH1";"A";"2014";12,4;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2013";12,1;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2012";11,3;NA;NA
"PC";"Y15-24";"T";"ITH1";"A";"2011";9,1;NA;"u"
"PC";"Y15-24";"T";"ITH1";"A";"2010";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2009";8,9;NA;"u"
"PC";"Y15-24";"T";"ITH1";"A";"2008";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2007";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2006";7,2;NA;"u"
"PC";"Y15-24";"T";"ITH1";"A";"2005";7,2;NA;"bu"
"PC";"Y15-24";"T";"ITH1";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"ITH1";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"ITH1";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2015";23,6;NA;NA
"PC";"Y15-24";"T";"ITH2";"A";"2014";27,1;NA;NA
"PC";"Y15-24";"T";"ITH2";"A";"2013";23,4;NA;NA
"PC";"Y15-24";"T";"ITH2";"A";"2012";20,8;NA;NA
"PC";"Y15-24";"T";"ITH2";"A";"2011";14,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2010";15,1;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2009";11,6;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2008";8,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2007";9,1;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2006";9,4;NA;"u"
"PC";"Y15-24";"T";"ITH2";"A";"2005";10,4;NA;"bu"
"PC";"Y15-24";"T";"ITH2";"A";"2004";NA;"na";"bu"
"PC";"Y15-24";"T";"ITH2";"A";"2003";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2002";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2001";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"2000";NA;"na";"u"
"PC";"Y15-24";"T";"ITH2";"A";"1999";NA;"na";"u"
"PC";"Y15-24";"T";"ITH3";"A";"2015";24,6;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2014";27,6;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2013";25,7;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2012";23,3;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2011";19,7;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2010";18,8;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2009";14,3;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2008";10,4;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2007";8,5;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2006";11,8;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2005";12,6;NA;"b"
"PC";"Y15-24";"T";"ITH3";"A";"2004";11,7;NA;"b"
"PC";"Y15-24";"T";"ITH3";"A";"2003";6,8;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2002";7;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2001";7,2;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"2000";9;NA;NA
"PC";"Y15-24";"T";"ITH3";"A";"1999";11,5;NA;NA
