"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y15-64";"T";"ITC4";"A";"2004";65,4;"b";NA
"PC";"Y15-64";"T";"ITC4";"A";"2003";64;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2002";63,1;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2001";62;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"2000";60,7;NA;NA
"PC";"Y15-64";"T";"ITC4";"A";"1999";60,5;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2015";65,3;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2014";65;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2013";64,7;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2012";66,1;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2011";66,2;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2010";65,8;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2009";66,2;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2008";67,9;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2007";67,5;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2006";66,9;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2005";66,1;"b";NA
"PC";"Y15-64";"T";"ITH";"A";"2004";64,4;"b";NA
"PC";"Y15-64";"T";"ITH";"A";"2003";63,8;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2002";63;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2001";62,5;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"2000";61,6;NA;NA
"PC";"Y15-64";"T";"ITH";"A";"1999";60,3;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2015";71,4;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2014";70,8;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2013";71,4;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2012";71,8;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2011";71;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2010";71;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2009";70,4;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2008";70,4;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2007";69,7;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2006";69,5;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2005";69,1;"b";NA
"PC";"Y15-64";"T";"ITH1";"A";"2004";69,5;"b";NA
"PC";"Y15-64";"T";"ITH1";"A";"2003";70,3;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2002";70,5;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2001";67,6;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"2000";66,7;NA;NA
"PC";"Y15-64";"T";"ITH1";"A";"1999";66,3;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2015";66,1;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2014";65,9;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2013";65,5;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2012";65,4;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2011";65,9;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2010";65,9;NA;NA
"PC";"Y15-64";"T";"ITH2";"A";"2009";66,5;NA;NA
