"UNIT";"WORKTIME";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"THS";"PT";"T";"ITH1";"A";"2013";53,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2012";54,5;NA;NA
"THS";"PT";"T";"ITH1";"A";"2011";48,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2010";48,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2009";44,4;NA;NA
"THS";"PT";"T";"ITH1";"A";"2008";43,6;NA;NA
"THS";"PT";"T";"ITH1";"A";"2007";42,6;NA;NA
"THS";"PT";"T";"ITH1";"A";"2006";39,4;NA;NA
"THS";"PT";"T";"ITH1";"A";"2005";38,9;"b";NA
"THS";"PT";"T";"ITH1";"A";"2004";37,7;"b";NA
"THS";"PT";"T";"ITH1";"A";"2003";35,1;NA;NA
"THS";"PT";"T";"ITH1";"A";"2002";31,9;NA;NA
"THS";"PT";"T";"ITH1";"A";"2001";30,7;NA;NA
"THS";"PT";"T";"ITH1";"A";"2000";30,2;NA;NA
"THS";"PT";"T";"ITH1";"A";"1999";26,2;NA;NA
"THS";"PT";"T";"ITH2";"A";"2015";51,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2014";50;NA;NA
"THS";"PT";"T";"ITH2";"A";"2013";46,4;NA;NA
"THS";"PT";"T";"ITH2";"A";"2012";44,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2011";41,8;NA;NA
"THS";"PT";"T";"ITH2";"A";"2010";40,3;NA;NA
"THS";"PT";"T";"ITH2";"A";"2009";40,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2008";42,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"2007";38,2;NA;NA
"THS";"PT";"T";"ITH2";"A";"2006";36,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2005";33,8;"b";NA
"THS";"PT";"T";"ITH2";"A";"2004";34,8;"b";NA
"THS";"PT";"T";"ITH2";"A";"2003";18,5;NA;NA
"THS";"PT";"T";"ITH2";"A";"2002";18,6;NA;NA
"THS";"PT";"T";"ITH2";"A";"2001";20,8;NA;NA
"THS";"PT";"T";"ITH2";"A";"2000";23,1;NA;NA
"THS";"PT";"T";"ITH2";"A";"1999";16,3;NA;NA
"THS";"PT";"T";"ITH3";"A";"2015";364,8;NA;NA
"THS";"PT";"T";"ITH3";"A";"2014";376,8;NA;NA
"THS";"PT";"T";"ITH3";"A";"2013";359,6;NA;NA
"THS";"PT";"T";"ITH3";"A";"2012";355,6;NA;NA
"THS";"PT";"T";"ITH3";"A";"2011";329,2;NA;NA
"THS";"PT";"T";"ITH3";"A";"2010";316,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2009";313,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2008";348,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2007";314,5;NA;NA
"THS";"PT";"T";"ITH3";"A";"2006";306,4;NA;NA
"THS";"PT";"T";"ITH3";"A";"2005";285,4;"b";NA
"THS";"PT";"T";"ITH3";"A";"2004";255,4;"b";NA
"THS";"PT";"T";"ITH3";"A";"2003";227,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2002";213,9;NA;NA
"THS";"PT";"T";"ITH3";"A";"2001";212,1;NA;NA
"THS";"PT";"T";"ITH3";"A";"2000";194,2;NA;NA
"THS";"PT";"T";"ITH3";"A";"1999";157,8;NA;NA
