"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"PC";"Y_GE15";"T";"EU28";"A";"2015";9,4;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2014";10,2;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2013";10,9;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2012";10,5;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2011";9,6;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2010";9,6;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2009";8,9;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2008";7;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2007";7,2;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2006";8,2;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2005";9;"b";NA
"PC";"Y_GE15";"T";"EU28";"A";"2004";9,2;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2003";9,1;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2002";9;NA;NA
"PC";"Y_GE15";"T";"EU28";"A";"2001";NA;NA;"na"
"PC";"Y_GE15";"T";"EU28";"A";"2000";NA;NA;"na"
"PC";"Y_GE15";"T";"EU28";"A";"1999";NA;NA;"na"
"PC";"Y_GE15";"T";"IT";"A";"2015";11,9;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2014";12,7;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2013";12,1;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2012";10,7;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2011";8,4;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2010";8,4;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2009";7,7;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2008";6,7;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2007";6,1;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2006";6,8;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2005";7,7;"b";NA
"PC";"Y_GE15";"T";"IT";"A";"2004";7,9;"b";NA
"PC";"Y_GE15";"T";"IT";"A";"2003";8,9;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2002";9,2;NA;NA
"PC";"Y_GE15";"T";"IT";"A";"2001";9,6;NA;NA
