"AGE";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS"
"TOTAL";"ITC4";"A";"2005";1,37;NA
"TOTAL";"ITC4";"A";"2004";1,36;NA
"TOTAL";"ITC4";"A";"2003";1,27;NA
"TOTAL";"ITC4";"A";"2002";1,25;NA
"TOTAL";"ITC4";"A";"2001";1,22;NA
"TOTAL";"ITC4";"A";"2000";1,21;NA
"TOTAL";"ITC4";"A";"1999";1,16;NA
"TOTAL";"ITC4";"A";"1998";1,14;NA
"TOTAL";"ITC4";"A";"1997";1,15;NA
"TOTAL";"ITC4";"A";"1996";1,11;NA
"TOTAL";"ITC4";"A";"1995";1,08;NA
"TOTAL";"ITC4";"A";"1994";1,08;NA
"TOTAL";"ITC4";"A";"1993";1,09;NA
"TOTAL";"ITC4";"A";"1992";1,12;NA
"TOTAL";"ITC4";"A";"1991";1,12;NA
"TOTAL";"ITC4";"A";"1990";1,13;NA
"TOTAL";"ITH";"A";"2014";1,43;NA
"TOTAL";"ITH";"A";"2013";1,45;NA
"TOTAL";"ITH";"A";"2012";1,49;NA
"TOTAL";"ITH";"A";"2011";1,49;NA
"TOTAL";"ITH";"A";"2010";1,52;NA
"TOTAL";"ITH";"A";"2009";1,5;NA
"TOTAL";"ITH";"A";"2008";1,5;NA
"TOTAL";"ITH";"A";"2007";1,45;NA
"TOTAL";"ITH";"A";"2006";1,41;NA
"TOTAL";"ITH";"A";"2005";1,36;NA
"TOTAL";"ITH";"A";"2004";1,35;NA
"TOTAL";"ITH";"A";"2003";1,26;NA
"TOTAL";"ITH";"A";"2002";1,24;NA
"TOTAL";"ITH";"A";"2001";1,21;NA
"TOTAL";"ITH";"A";"2000";NA;"na"
"TOTAL";"ITH";"A";"1999";NA;"na"
"TOTAL";"ITH";"A";"1998";NA;"na"
"TOTAL";"ITH";"A";"1997";NA;"na"
"TOTAL";"ITH";"A";"1996";NA;"na"
"TOTAL";"ITH";"A";"1995";NA;"na"
"TOTAL";"ITH";"A";"1994";NA;"na"
"TOTAL";"ITH";"A";"1993";NA;"na"
"TOTAL";"ITH";"A";"1992";NA;"na"
"TOTAL";"ITH";"A";"1991";NA;"na"
