"UNIT";"INDIC_TO";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"NR";"B003";"I551-I553";"DE2";"A";"2015";NA;"na";NA
"NR";"B003";"I551-I553";"DE2";"A";"2014";31012863;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2013";30174628;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2012";29737763;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2011";28428867;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2010";26855218;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2009";24963832;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2008";26260001;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2007";25920608;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2006";25454736;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2005";24852742;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2004";23871216;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2003";22658454;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2002";22701104;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2001";23361591;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"2000";23379106;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1999";22094118;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1998";21116703;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1997";20246292;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1996";19997632;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1995";19942189;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1994";20155491;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1993";20241267;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1992";20974160;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1991";21203697;NA;NA
"NR";"B003";"I551-I553";"DE2";"A";"1990";20824015;NA;NA
"NR";"B003";"I551-I553";"EU27";"A";"2015";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2014";892969696;NA;"e"
"NR";"B003";"I551-I553";"EU27";"A";"2013";864637242;NA;"e"
"NR";"B003";"I551-I553";"EU27";"A";"2012";844287028;NA;NA
"NR";"B003";"I551-I553";"EU27";"A";"2011";805289016;NA;"e"
"NR";"B003";"I551-I553";"EU27";"A";"2010";757717166;NA;"e"
"NR";"B003";"I551-I553";"EU27";"A";"2009";742965957;NA;"e"
"NR";"B003";"I551-I553";"EU27";"A";"2008";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2007";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2006";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2005";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2004";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2003";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2002";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2001";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"2000";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1999";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1998";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1997";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1996";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1995";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1994";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1993";NA;"na";NA
"NR";"B003";"I551-I553";"EU27";"A";"1992";NA;"na";NA
