"UNIT";"AGE";"SEX";"GEO";"FREQ";"obsTime";"obsValue";"OBS_STATUS";"OBS_FLAG"
"PC";"Y18-24";"T";"IT";"A";"2013";16,8;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2012";17,3;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2011";17,8;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2010";18,6;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2009";19,1;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2008";19,6;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2007";19,5;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2006";20,4;NA;"b"
"PC";"Y18-24";"T";"IT";"A";"2005";22,1;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2004";23,1;NA;"b"
"PC";"Y18-24";"T";"IT";"A";"2003";23;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2002";24,2;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2001";25,9;NA;NA
"PC";"Y18-24";"T";"IT";"A";"2000";25,1;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2015";13,1;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2014";12,9;NA;"b"
"PC";"Y18-24";"T";"ITC4";"A";"2013";15,3;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2012";15,1;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2011";16,8;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2010";18;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2009";19,8;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2008";19,5;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2007";18,1;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2006";18,4;NA;"b"
"PC";"Y18-24";"T";"ITC4";"A";"2005";21,3;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2004";22,4;NA;"b"
"PC";"Y18-24";"T";"ITC4";"A";"2003";22;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2002";22,3;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2001";24;NA;NA
"PC";"Y18-24";"T";"ITC4";"A";"2000";23,4;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2015";10,1;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2014";10,6;NA;"b"
"PC";"Y18-24";"T";"ITH";"A";"2013";12,3;NA;NA
"PC";"Y18-24";"T";"ITH";"A";"2012";14,3;NA;NA
