"INDIC_SB";"NACE_R2";"GEO";"FREQ";"obsTime";"obsValue";"OBS_FLAG";"OBS_STATUS"
"V11210";"E";"ITH1";"A";"2008";NA;NA;"na"
"V11210";"E";"ITH2";"A";"2013";103;NA;NA
"V11210";"E";"ITH2";"A";"2012";103;NA;NA
"V11210";"E";"ITH2";"A";"2011";187;NA;NA
"V11210";"E";"ITH2";"A";"2010";NA;NA;"na"
"V11210";"E";"ITH2";"A";"2009";NA;NA;"na"
"V11210";"E";"ITH2";"A";"2008";NA;NA;"na"
"V11210";"E";"ITH3";"A";"2013";699;NA;NA
"V11210";"E";"ITH3";"A";"2012";691;NA;NA
"V11210";"E";"ITH3";"A";"2011";995;NA;NA
"V11210";"E";"ITH3";"A";"2010";NA;NA;"na"
"V11210";"E";"ITH3";"A";"2009";NA;NA;"na"
"V11210";"E";"ITH3";"A";"2008";NA;NA;"na"
"V11210";"F";"AT32";"A";"2013";2989;NA;NA
"V11210";"F";"AT32";"A";"2012";2836;NA;NA
"V11210";"F";"AT32";"A";"2011";2755;NA;NA
"V11210";"F";"AT32";"A";"2010";2709;NA;NA
"V11210";"F";"AT32";"A";"2009";2577;NA;NA
"V11210";"F";"AT32";"A";"2008";2578;NA;NA
"V11210";"F";"AT33";"A";"2013";4060;NA;NA
"V11210";"F";"AT33";"A";"2012";3859;NA;NA
"V11210";"F";"AT33";"A";"2011";3694;NA;NA
"V11210";"F";"AT33";"A";"2010";3633;NA;NA
"V11210";"F";"AT33";"A";"2009";3497;NA;NA
"V11210";"F";"AT33";"A";"2008";3502;NA;NA
"V11210";"F";"AT34";"A";"2013";1923;NA;NA
"V11210";"F";"AT34";"A";"2012";1817;NA;NA
"V11210";"F";"AT34";"A";"2011";1798;NA;NA
"V11210";"F";"AT34";"A";"2010";1771;NA;NA
"V11210";"F";"AT34";"A";"2009";1716;NA;NA
"V11210";"F";"AT34";"A";"2008";1737;NA;NA
"V11210";"F";"DE2";"A";"2013";39688;NA;NA
"V11210";"F";"DE2";"A";"2012";39992;NA;NA
"V11210";"F";"DE2";"A";"2011";37167;NA;NA
"V11210";"F";"DE2";"A";"2010";37931;NA;NA
"V11210";"F";"DE2";"A";"2009";38140;NA;NA
"V11210";"F";"DE2";"A";"2008";2291;"i";NA
"V11210";"F";"IT";"A";"2013";550357;NA;NA
"V11210";"F";"IT";"A";"2012";572922;NA;NA
"V11210";"F";"IT";"A";"2011";658262;NA;NA
"V11210";"F";"IT";"A";"2010";17236;NA;NA
"V11210";"F";"IT";"A";"2009";48553;NA;NA
"V11210";"F";"IT";"A";"2008";NA;NA;"na"
"V11210";"F";"ITC4";"A";"2013";101769;NA;NA
"V11210";"F";"ITC4";"A";"2012";106587;NA;NA
"V11210";"F";"ITC4";"A";"2011";123235;NA;NA
"V11210";"F";"ITC4";"A";"2010";NA;NA;"na"
"V11210";"F";"ITC4";"A";"2009";NA;NA;"na"
"V11210";"F";"ITC4";"A";"2008";NA;NA;"na"
"V11210";"F";"ITH";"A";"2013";126155;NA;NA
"V11210";"F";"ITH";"A";"2012";131390;NA;NA
"V11210";"F";"ITH";"A";"2011";145697;NA;NA
"V11210";"F";"ITH";"A";"2010";NA;NA;"na"
"V11210";"F";"ITH";"A";"2009";NA;NA;"na"
"V11210";"F";"ITH";"A";"2008";NA;NA;"na"
